FilingName,Exchange,Ticker,Dismissed,SettlementAmount,FilingYear
"Bodisen Biotech, Inc.",American SE,BBC,Yes,#NULL!,2006
Brantley Capital Corporation,NASDAQ,BBDC,No,"$3,750,000.00",2006
"Bombardier ,Inc.:Bombardier CAPITAL MORTGAGE Securitization Pass-Through Certificate Series 2000A",Toronto Stock Exchange,BBDSVB.T,Yes,#NULL!,2005
"Blockbuster, Inc.",New York SE,BBI,Yes,#NULL!,2005
Britannia Bulk Holdings Inc.,New York SE,BBLKF,Yes,#NULL!,2008
"Blue Earth, Inc.",NASDAQ,BBLU,Ongoing,#NULL!,2014
"Blue Earth, Inc.",NASDAQ,BBLU,Ongoing,#NULL!,2014
"BigBand Networks, Inc.",NASDAQ,BBND,No,"$11,000,000.00",2007
Blackberry Limited,NASDAQ,BBRY,Ongoing,#NULL!,2013
"Barrett Business Services, Inc.",NASDAQ,BBSI,Ongoing,#NULL!,2014
"Barrett Business Services, Inc.",NASDAQ,BBSI,Ongoing,#NULL!,2014
"BankAtlantic Bancorp, Inc.",New York SE,BBX,Yes,#NULL!,2007
"Best Buy Co., Inc.",New York SE,BBY,Ongoing,#NULL!,2011
"Boston Communications Group, Inc.",NASDAQ,BCGI,Yes,#NULL!,2005
"Blucora, Inc.",NASDAQ,BCOR,Yes,#NULL!,2014
Barclays PLC : American Depository Receipts,New York SE,BCS,Ongoing,#NULL!,2012
Barclays PLC : American Depositary Shares,New York SE,BCS,Ongoing,#NULL!,2014
Barclays PLC : American Depositary Shares,New York SE,BCS,Ongoing,#NULL!,2014
"Barclays Bank PLC : American Depositary Shares, Series 2",New York SE,BCS.PR,Ongoing,#NULL!,2009
"Barclays Bank PLC : American Depositary Shares, Series 4",NEW YORK SE,BCS.PRC,Yes,#NULL!,2009
Barclays Bank PLC : Series 5 American Depositary Shares,New York SE,BCS.PRD,Yes,#NULL!,2009
"BlueCoat Systems,Inc.",NASDAQ,BCSI,Yes,#NULL!,2005
CVB Financial Corporation,NASDAQ,CVBF,Yes,#NULL!,2010
"Boulder Brands, Inc.",NASDAQ,BDBD,Ongoing,#NULL!,2015
"Bradley Pharmaceuticals,Inc.",New York SE,BDY,No,"$3,500,000.00",2005
"BearingPoint, Inc.",New York SE,BE,No,"$7,500,000.00",2005
"CardioNet, Inc.",NASDAQ,BEAT,Yes,#NULL!,2009
"KPMG, LLP : Diebold Inc.",New York SE,DBD,No,#NULL!,2010
"DG FastChannel, Inc.",NASDAQ,DGIT,No,"$2,000,000.00",2010
"Duoyuan Global Water, Inc.",New York SE,DGW,No,"$5,150,000.00",2010
"DJSP Enterprises, Inc.",NASDAQ,DJSP,Yes,#NULL!,2010
General Cable Corporation,New York SE,BGC,Ongoing,#NULL!,2013
Natural Health Trends Corporation,NASDAQ,BHIP,No,"$2,750,000.00",2006
Bio-One Corporation,OTC-BB,BICO,No,"$375,000.00",2005
"Bidz.com, Incorporated",NASDAQ,BIDZ,No,#NULL!,2009
"Big Lots, Inc.",New York SE,BIG,Ongoing,#NULL!,2012
"Biogen Idec,Inc.",NASDAQ,BIIB,Yes,#NULL!,2005
"Biolase, Inc.",NASDAQ,BIOL,Ongoing,#NULL!,2013
"Bioscrip, Inc.",NASDAQ,BIOS,Ongoing,#NULL!,2013
"Bioenvision, Inc.",NASDAQ,BIVN,Yes,#NULL!,2007
"KCG Americas LLC : Biozoom, Inc. Common Stock",OTC-BB,BIZM,Ongoing,#NULL!,2014
Del Monte Foods Company,New York SE,DLM,Yes,#NULL!,2010
The Bank of New York Mellon Corporation,New York SE,BK,Ongoing,#NULL!,2011
"BKF Capital Group, Inc.",New York SE,BKFG,Yes,#NULL!,2007
Michael Baker Corporation,American SE,BKR,No,"$4,500,000.00",2008
"Barnes & Noble, Inc.",New York SE,BKS,Yes,#NULL!,2014
BankUnited Financial Corporation,NASDAQ,BKUNA,No,"$3,000,000.00",2008
"Infoblox, Inc.",New York SE,BLOX,Ongoing,#NULL!,2014
"Immucor, Inc.",NASDAQ,BLUD,No,"$2,500,000.00",2005
"Immucor, Inc.",NASDAQ,BLUD,No,"$3,900,000.00",2009
"DEVRY, Inc.",New York SE,DV,Yes,#NULL!,2010
Bristol-Myers Squibb Company,New York SE,BMY,No,"$125,000,000.00",2007
"Annie's, Inc.",New York SE,BNNY,Ongoing,#NULL!,2014
"Annie's, Inc.",New York SE,BNNY,Ongoing,#NULL!,2014
Body Central Corporation,NASDAQ,BODY,Ongoing,#NULL!,2012
"Bausch & Lomb, Inc.",New York SE,BOL,Yes,#NULL!,2006
SeaCube Container Leasing Ltd.,New York SE,BOX,Ongoing,#NULL!,2013
BP P.L.C.,New York SE,BP,Ongoing,#NULL!,2007
"BP, PLC",New York SE,BP,Ongoing,#NULL!,2010
"DynaVox, Inc.",NASDAQ,DVOX,Yes,#NULL!,2010
"Bridgepoint Education, Inc.",New York SE,BPI,Ongoing,#NULL!,2012
"Bridgepoint Education, Inc.",New York SE,BPI,Ongoing,#NULL!,2015
"Popular, Inc.",NASDAQ,BPOP,No,"$37,500,000.00",2009
BP Prudhoe Bay Royalty Trust,New York SE,BPT,No,"$43,250,000.00",2006
"Duoyuan Printing, Inc.",New York SE,DYP,No,"$4,300,000.00",2010
"Brocade Communication Systems, Inc.",NASDAQ,BRCD,No,"$160,000,000.00",2005
Broadcom Corporation,NASDAQ,BRCM,No,"$160,500,000.00",2006
"Brooks Automation, Inc.",NASDAQ,BRKS,No,"$7,750,000.00",2006
Syntax-Brillian Corporation,NASDAQ,BRLC,No,"$10,000,000.00",2007
Education Management Corporation,NASDAQ,EDMC,Yes,#NULL!,2010
"Bravo! Brands, Inc.",OTC-BB,BRVO,Yes,#NULL!,2007
The Bear Stearns Companies Inc.,New York SE,BSC,No,"$275,000,000.00",2008
Boston Scientific Corporation,New York SE,BSX,Yes,#NULL!,2005
Eksportfinans A.S.A. : Enhanced Yield Reverse Exchangeable Securities with Contingent Downside Protection,Undetermined,EKS,Yes,#NULL!,2010
"Blyth, Inc.",New York SE,BTH,Ongoing,#NULL!,2012
"Barrier Therapeutics, Inc.",NASDAQ,BTRX,Yes,#NULL!,2005
"Buca, Inc.",NASDAQ,BUCA,No,"$1,600,000.00",2005
Emmis Communications Corporation,NASDAQ,EMMS,Yes,#NULL!,2010
SAC Capital Management L.L.C. : Biovail Corporation Common Stock,New York SE,BVF,Yes,#NULL!,2006
Biovail Corporation,New York SE,BVF,Yes,#NULL!,2008
"ITT Education Services, Inc.",New York SE,ESI,Yes,#NULL!,2010
"Basin Water, Inc.",NASDAQ,BWTR,No,"$7,000,000.00",2007
The Blackstone Group L.P.,New York SE,BX,No,"$85,000,000.00",2008
Exobox Technologies Corporation,Pink Sheets,EXBX,Yes,#NULL!,2010
Ford Motor Company : Ford Motor Company Capital Trust II 6.5% Cumulative CONVERTIBLE Trust Preferred Securities,New York SE,F1S,Yes,#NULL!,2010
"BancorpSouth, Inc.",New York SE,BXS,Ongoing,#NULL!,2014
"BancorpSouth, Inc.",New York SE,BXS,Ongoing,#NULL!,2014
"Beazer Homes USA, Inc.",New York SE,BZH,No,"$30,500,000.00",2007
"Citigroup, Inc.",New York SE,C,No,"$590,000,000.00",2007
Citigroup Inc. : Auction Rate Securities,New York SE,C,Yes,#NULL!,2008
Countrywide Financial Corporation : Countrywide Series A and Series B Floating Rate Convertible Senior Debentures due 2037,C.D. California,C.D. Cal,Yes,#NULL!,2007
"China Automotive Systems, Inc.",NASDAQ,CAAS,Ongoing,#NULL!,2011
Carrier Access Corporation,NASDAQ,CACS,No,"$7,400,000.00",2005
Host America Corporation,NASDAQ,CAFE,Yes,#NULL!,2005
"ConAgra Foods, Inc.",New York SE,CAG,Yes,#NULL!,2005
"FalconStor SOFTWARE, Inc.",NASDAQ,FALC,No,"$5,000,000.00",2010
First Regional Bancorp,Pink Sheets,FRGB,No,"$5,500,000.00",2010
Frontier Financial Corporation,NASDAQ,FTBK,Yes,#NULL!,2010
Camtek Ltd.,NASDAQ,CAMT,Yes,#NULL!,2008
CannaVEST Corp.,OTC-BB,CANV,Ongoing,#NULL!,2014
CSK Auto Corporation,New York SE,CAO,No,"$10,000,000.00",2006
"China Aviation Oil Corporation,Ltd.",OTC-BB,CAOLF.PK,Yes,#NULL!,2005
"Cedar Fair Management, Inc.",New York SE,FUN,Yes,#NULL!,2010
Genzyme Corporation : Acquisition by Sanofi-Aventis SA,New York SE,GENZ,Yes,#NULL!,2010
Geron Corporation,NASDAQ,GERN,Yes,#NULL!,2010
"Capitol Bancorp, Limited",New York SE,CBC,Yes,#NULL!,2005
CBD Energy Limited,NASDAQ,CBDE,Ongoing,#NULL!,2014
CBD Energy Limited,NASDAQ,CBDE,Ongoing,#NULL!,2014
"China Integrated Energy, Inc.",NASDAQ,CBEH,Ongoing,#NULL!,2011
"Cbeyond, Inc.",NASDAQ,CBEY,No,"$2,300,000.00",2008
"CBRE Realty Finance, Inc.",New York SE,CBF,Yes,#NULL!,2007
Chicago Bridge & Iron Co. NV,New York SE,CBI,No,"$10,500,000.00",2006
"Cellular Biomedicine Group, Inc.",NASDAQ,CBMG,Ongoing,#NULL!,2015
Green Mountain Coffee Roasters Inc.,NASDAQ,GMCR,Yes,#NULL!,2010
"Green Bankshares, Inc.",NASDAQ,GRNB,No,"$1,750,000.00",2010
CBS Corporation,New York SE,CBS,Yes,#NULL!,2008
China Ceramics Co. Ltd.,NASDAQ,CCCL,Ongoing,#NULL!,2014
China Ceramics Co. Ltd.,NASDAQ,CCCL,Ongoing,#NULL!,2014
"China Commercial Credit, Inc.",New York SE,CCCR,Ongoing,#NULL!,2014
"China Commercial Credit, Inc.",New York SE,CCCR,Ongoing,#NULL!,2014
"Coca-Cola Enterprises, Inc.",New York SE,CCE,Yes,#NULL!,2006
"China MediaExpress Holdings, Inc.",NASDAQ,CCME,Ongoing,#NULL!,2011
CompuCredit Corporation,NASDAQ,CCRT,Yes,#NULL!,2008
"Genoptix, Inc.",NASDAQ,GXDX,No,"$7,700,000.00",2010
"Cadence Design Systems, Inc.",NASDAQ,CDNS,No,"$38,000,000.00",2008
"Citadel SECURITY SOFTWARE ,Inc.",NASDAQ,CDSS,Yes,#NULL!,2005
