FilingName,Exchange,Ticker,Dismissed,SettlementAmount,FilingYear
"Frazer Frost, LLP (Frost, PLLC) : China Natural Gas' Financial Statements",Pink Sheets,CHNG,Ongoing,0,2012
"China Gerui Advanced Materials Group, Ltd.",NASDAQ,CHOP,Ongoing,0,2014
"Medivation, Inc.",NASDAQ,MDVN,Yes,0,2010
Massey ENERGY COMPANY,New York SE,MEE,No,265000000,2010
Chelsea Therapeutics International Ltd.,NASDAQ,CHTP,Ongoing,0,2014
"Charter Communications, Inc.",NASDAQ,CHTR,Yes,0,2009
Calamos Global Dynamic INCOME FUND : Auction Rate Cumulative Preferred Shares,New York SE,CHW,Yes,0,2008
Charys Holding Company,OTC-BB,CHYS,Yes,0,2008
"CIB Marine Banchsares,Inc.",Pink Sheets,CIBH.PK,No,3400000,2005
"Cobalt International Energy, Inc.",New York SE,CIE,Ongoing,0,2014
"MELA Sciences, Inc.",NASDAQ,MELA,Yes,0,2010
"Ciphergen Biosystems, Inc.",NASDAQ,CIPHE,Yes,0,2005
Camelot Information Systems Inc.,New York SE,CIS,Ongoing,0,2012
Monsanto Company,New York SE,MON,Yes,0,2010
"CIT Group, Inc.",New York SE,CIT,No,75000000,2008
CFS Bancorp Inc.,NASDAQ,CITZ,Ongoing,0,2013
Collins & Aikman Corporation,New York SE,CKC,No,12262500,2005
CheckFree Corporation,NASDAQ,CKFR,Yes,0,2007
Celladon Corporation,NASDAQ,CLDN,Ongoing,0,2015
Cliffs Natural Resources Inc.,New York SE,CLF,Ongoing,0,2014
Celestica Inc.,New York SE,CLS,Ongoing,0,2007
Candela Corporation,NASDAQ,CLZR,No,3850000,2008
Canadian Imperial Bank of Commerce (CIBC),New York SE,CM,Yes,0,2008
"Motorola, Inc.",New York SE,MOT,No,3150000,2010
"Dynegy, Inc.",New York SE,NCJH,Yes,0,2010
"China Mobile Games & Entertainment Group, LTD : American Depository Shares",NASDAQ,CMGE,Ongoing,0,2014
"China Mobile Games & Entertainment Group, LTD : American Depository Shares",NASDAQ,CMGE,Ongoing,0,2014
China North East Petroleum Holdings Limited,New York SE,NEP,Yes,0,2010
Crestwood Midstream Partners LP,New York SE,CMLP,Ongoing,0,2013
Comtech Telecommunications Corporation,NASDAQ,CMTL,Yes,0,2009
"Comverse TECHNOLOGY, Inc.",NASDAQ,CMVT,No,225000000,2006
