"","acc.loss","price.trend","company.rating","eps","log.shares","cap.reserve","cash","log.common.stocks","other.finance","finance.cash.flow","other.funds","inventory.diff","investing.other","options.granted","risk.free.rate","assumed.volatility","sale.investments","log.long.tax","net.tax.liability","settlement.pct","market.valuation","was.litigated"
"192",1.062,8.3,3,-4.34829365079365,18.3478137962809,8.6485962958413,202.982,-0.0608121393967575,-20.301,630.204,45.64,-40.957,-24.521,0.086,2.5,61.9,0,-2.30258509299405,0,0,1396678665.89286,FALSE
"193",0.031,-9.93,3,-3.30884920634921,18.3774566438015,8.65751775809735,-146.791,-0.026343975339602,0,13.202,76.311,14.209,10.751,0,0,0,-7.249,-2.30258509299405,0,0,1797277560.05291,FALSE
"194",-3.354,1.15,3,-1.54732,18.4126668785392,8.66522777744253,100.548,0.00598207167754747,-2.332,7.94,102.972,-53.46,35.597,0,0,0,0,-2.30258509299405,0,0,1460374733.79,FALSE
"195",-7.774,8.27,3,-1.28353174603175,18.4417287827654,8.68166980340256,-295.957,0.0363319292473902,-3.692,-207.339,119.869,-8.943,2.338,0,0,0,0,-2.30258509299405,0,0,1995214816.81481,FALSE
"196",10.722,4.51,2,0.518690476190476,17.4887263076116,6.00975377489065,11.705,1.47796154964571,-2.772,28.891,7.212,-20.707,0.323,0.188,1.845,48.29,0.133,3.96283018167942,61.499,0,780281675,FALSE
"197",12.741,-9.73,2,0.286984126984127,17.5045141115204,6.03598608985282,-78.992,1.48704426422003,0,5.897,21.755,-23.821,0.623,0.096,2.138,49.91,0.106,3.30838740707167,11.696,0,675950546.547619,FALSE
"198",0.795,0.220000000000001,2,-2.24492,17.5144316258937,6.05141835574426,25.348,1.49872979044968,-2.085,-35.166,122.304,37.748,5.101,0.801,0.75,52.08,-2.983,3.29372352335692,17.93,0,376596041.9,FALSE
"199",2.245,3.71,2,-2.21015873015873,17.5294654395002,6.07381842811555,2.744,1.51468757588829,-1.765,-11.337,6.863,-0.948,3.648,0.132,0.835,50.79,0.316,3.64364670483418,31.469,0,588575272.222222,FALSE
"200",0,2.05,3,0.256468253968254,16.2998803573247,3.9625069723986,0.554,-2.12026353620009,0,0.017,0.168,-0.358,0.412,0.233,2.08,67,0,0.808705521194218,2.145,0,33368081.5218254,FALSE
"201",0,2.873,3,0.243293650793651,16.3085595638552,3.97784819844832,5.995,-2.09557092360972,0,0.28,0.535,-1.245,0,0.32,1.69,81,-0.044,1.29718988603707,4.553,0,75206874.8779762,FALSE
